Activity ID,Feedback question ID - 1,Feedback question ID -2,Feedback question ID - 3
98,152,305,373
99,154,157,272
100,205,155,None
101,292,96,None
102,293,193,190
103,185,97,10
104,161,188,None
105,135,156,282
106,28,320,None
107,52,137,None
108,33,125,None
109,300,183,355
110,284,337,None
111,195,322,101
112,258,174,None
113,199,23,None
114,209,201,None
115,27,257,None
116,224,92,None
117,206,220,None
118,243,163,None
119,35,81,None
120,213,266,None
121,312,370,None
122,238,357,None
123,79,111,None
124,63,74,None
125,368,62,None
126,211,310,None
127,104,212,None
128,265,103,None
129,230,170,None
130,264,353,None
131,268,173,None
132,54,8,None
133,271,151,None
134,129,130,374
135,91,319,None
136,14,371,None
137,229,122,None
138,42,100,None
139,250,49,None
140,218,31,None
141,121,25,None
142,217,61,375
143,207,269,None
144,43,18,None
145,34,328,None
146,68,347,None
147,311,334,None
148,67,345,None
149,179,321,None
150,36,326,None
151,69,66,None
152,73,162,None
153,20,350,None
154,251,61,None
155,219,89,None
156,128,164,None
157,200,304,None
158,273,286,None
159,72,158,None
160,55,138,None
161,50,306,None
162,231,24,None
163,80,108,None
164,237,127,None
165,22,351,None
166,226,204,None
167,210,60,None
168,17,140,None
169,38,85,None
170,222,107,None
171,44,109,None
172,252,6,None
173,216,60,None
174,233,352,None
175,41,246,None
176,300,341,None
177,75,329,None
178,71,274,None
179,215,335,None
180,48,356,None
181,197,332,None
182,244,338,None
183,134,287,None
184,46,280,None
185,126,285,None
186,65,61,None
187,79,111,None
188,235,177,None
189,369,175,None
190,87,133,376
191,99,166,None
192,4,168,None
193,88,124,None
194,236,53,None
195,16,64,None
196,182,283,None
197,214,61,None
198,232,178,None
199,267,29,None
200,263,169,None
201,270,181,None
202,78,344,None
203,76,344,None
204,262,348,None
205,120,5,None
206,3,342,None
207,56,331,None
208,256,343,None
209,221,123,None
210,26,171,None
211,132,136,None
212,192,98,None
213,291,57,None
214,309,281,None
215,300,,None
216,255,318,None
217,115,354,None
218,242,131,None
219,83,102,None
220,58,21,None
221,223,202,None
222,40,180,None
223,45,225,None
224,241,249,None
225,51,165,None
226,76,344,None
227,44,7,None
228,59,346,None
229,86,113,None
230,234,112,None
231,227,340,None
232,247,339,None
233,227,349,None
234,239,330,None
235,90,167,None
236,259,176,None
237,253,114,None
238,196,336,None
239,82,297,None
240,47,323,None
241,260,172,None
242,77,324,None
243,84,9,None
244,153,150,None
245,198,139,None
246,301,94,None
247,105,106,None
248,203,298,None
249,325,,None
250,240,333,None
251,93,327,None
252,254,95,None
253,37,13,None
254,179,321,None
255,245,110,377
256,261,372,None
257,302,116,None
258,278,296,None
259,141,295,None
260,208,248,None
261,307,191,378
262,315,,None
263,290,317,None
264,316,362,None
265,148,159,379
266,314,184,None
267,288,359,None
268,186,143,None
269,313,299,None
270,187,11,None
271,365,367,None
272,276,363,None
273,142,358,None
274,142,364,None
275,19,145,None
276,279,144,None
277,147,360,None
278,149,308,None
279,189,12,None
280,303,2,None
281,275,361,None
282,277,294,None
283,146,366,None
